"cataid" "ra" "dec"
"588" 8382 182.120440855232 0.670049666248601
"589" 8384 182.176844635712 0.702402676306479
"590" 8385 182.1655 0.7050649
"591" 8386 182.0789 0.7666746
"592" 8387 182.0797 0.7665803
"593" 8388 182.0866 0.7729604
"594" 8389 182.0888 0.706506
"595" 8390 182.0911 0.6894922
"596" 8391 182.1292 0.7525903
"597" 8393 182.2251 0.6721331
"598" 8394 182.2265 0.6717796
"599" 8401 182.181664487683 0.704963557542097
"600" 8403 182.217370373497 0.7322730433319
"601" 8404 182.2207 0.7055654
"602" 8408 182.154 0.8272867
"603" 8410 182.144725092458 0.638251738964124
"604" 8414 182.2331 0.7176117
"605" 8415 182.2296 0.7195801
"606" 8416 182.2352 0.7356472
"607" 8417 182.2374 0.637642
"608" 8418 182.2967 0.6733383
"609" 8419 182.3005 0.7446632
"610" 8420 182.3021 0.6588637
"611" 8421 182.3022 0.737407
"612" 8423 182.3288 0.7955088
"613" 8428 182.2887 0.7712825
"614" 8430 182.295226045832 0.702030321453437
"615" 8435 182.3074 0.7981171
"616" 8438 182.323081939481 0.831464780739988
"617" 8441 182.3442 0.7853547
"618" 8450 182.4211 0.6576985
"619" 8452 182.4184 0.7931578
"620" 8453 182.423 0.7224067
"621" 8454 182.4288 0.7891337
"622" 8455 182.4658 0.7357113
"623" 8457 182.3867 0.7855833
"624" 8460 182.409391383125 0.755023553009554
"625" 8461 182.410229840834 0.73819746981837
"626" 8462 182.416886288258 0.741996993593997
"627" 8473 182.5133 0.8370433
"628" 8485 182.5514 0.7540266
"629" 8487 182.6359 0.6774978
"630" 8488 182.6297 0.6727735
"631" 8490 182.6415 0.671477
"632" 8491 182.5284 0.7597446
"633" 8495 182.6063 0.7199179
"634" 8496 182.6228 0.8385392
"635" 8497 182.662207938972 0.801548020271197
"636" 8499 182.544249932391 0.826384586905922
"637" 8505 182.6048 0.6761483
"638" 8507 182.6288 0.6851093
"639" 8517 182.5822 0.7812178
"640" 8521 182.553232348931 0.629273172145546
"641" 8527 182.7276 0.6495357
"642" 8533 182.7124 0.6938005
"643" 8534 182.7183 0.7409177
"644" 8536 182.7496 0.647917
"645" 8538 182.7957 0.6862169
"646" 8539 182.8109 0.6693972
"647" 8540 182.8232 0.6915564
"648" 8541 182.69676046801 0.823791065082183
"649" 8547 182.7189 0.6474795
"650" 8548 182.7533 0.6978646
"651" 8550 182.7571 0.7285131
"652" 8554 182.783274459814 0.781582709222006
"653" 8562 182.7907 0.7857572
"654" 8563 182.8032 0.6780023
"655" 8566 182.706470877455 0.813587506836688
"656" 8570 182.8329 0.8041956
"657" 8573 182.8408 0.8180052
"658" 8575 182.880590739398 0.800760695842923
"659" 8576 182.9297 0.7698451
"660" 8577 182.9323 0.7683251
"661" 8580 182.958120103584 0.801580292651319
"662" 8584 182.866173027209 0.813974783159112
"663" 8585 182.886855305801 0.719822443142546
"664" 8592 182.970249657691 0.811994128708475
"665" 8593 182.9726 0.7595595
"666" 8602 183.0243 0.7942531
"667" 8609 183.0541 0.7717427
"668" 8612 183.064832296386 0.713976806708175
"669" 8615 183.1064 0.8144138
"670" 8616 183.108242672919 0.64337400791975
"671" 8618 183.1245 0.7681625
"672" 8630 183.2741 0.7328377
"673" 8632 183.211633213361 0.798705313866437
"674" 8638 183.2385 0.7724399
"675" 8643 183.2528 0.7838392
"676" 8651 183.3518 0.6343585
"677" 8655 183.4162 0.7632255
"678" 8672 183.5727 0.8085688
"679" 8673 183.4314 0.7282887
"680" 8674 183.4395 0.7285537
"681" 8675 183.4806 0.7391402
"682" 8676 183.483028131572 0.675388714272814
"683" 8677 183.4816 0.6735067
"684" 8678 183.4839 0.7729984
"685" 8679 183.4845 0.7551349
"686" 8681 183.5532 0.748887
"687" 8683 183.5537 0.7136818
"688" 8684 183.5648 0.6374654
"689" 8685 183.5676 0.7219801
"690" 8686 183.5726 0.7327348
"691" 8703 183.6218 0.8301135
"692" 8706 183.6894 0.7435345
"693" 8708 183.588584521802 0.817239284304674
"694" 8709 183.5934 0.8067289
"695" 8713 183.6304 0.7432406
"696" 8717 183.6435 0.7910825
"697" 8718 183.645306886855 0.791864128591542
"698" 8721 183.7021 0.6608431
"699" 8724 183.5933 0.742372
"700" 8725 183.5953 0.756239
"701" 8726 183.6008 0.743375
"702" 8727 183.602995163251 0.765890111162452
"703" 8730 183.61590004697 0.814633391386867
"704" 8731 183.6199 0.7482559
"705" 8738 183.661817120177 0.711314168222562
"706" 8743 183.6913 0.6505486
"707" 8746 183.710619905787 0.739618666241357
"708" 8747 183.722 0.770312
"709" 8760 183.7437 0.7086141
"710" 8763 183.79098513303 0.761764246160084
"711" 8764 183.7965 0.8202014
"712" 8765 183.8074 0.721094
"713" 8770 183.856 0.7150981
"714" 8771 183.8677 0.8019768
"715" 8773 183.734341654978 0.740418320374012
"716" 8775 183.74179439331 0.755624548207515
"717" 8777 183.741246295694 0.719060677458201
"718" 8778 183.7509 0.7277128
"719" 8783 183.816086596465 0.738713186112778
"720" 8786 183.838925467753 0.838642097728242
"721" 8789 183.867681665775 0.740028364779038
"722" 8790 183.8715 0.7972632
"723" 8793 183.7722 0.7784231
"724" 8803 183.786 0.7638169
"725" 8805 183.8771 0.6444641
"726" 8806 183.8897 0.6646133
"727" 8807 183.888582690789 0.662859240185892
"728" 8811 183.975 0.7504341
"729" 8812 183.8809 0.6424765
"730" 8813 183.8799 0.6418884
"731" 8814 183.8893 0.6956872
"732" 8815 183.8868 0.6961005
"733" 8816 183.8881 0.8247906
"734" 8818 183.892732421614 0.820204367921057
"735" 8819 183.896871199321 0.640115034998065
"736" 8820 183.908842329926 0.82168062825197
"737" 8821 183.9532 0.8089573
"738" 8822 183.959 0.7242258
"739" 8823 183.9612 0.8047951
"740" 8825 183.9837 0.670973
"741" 8826 183.990270380737 0.716749448765354
"742" 8827 183.993369383751 0.71494391480282
"743" 8829 183.9913 0.8155012
